sea_bay,river,population,otolith_number,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14
taui_bay,arman,arman,8r,0.02401521,0.06358957,0.03074437,0.0169232,-0.04813595,0.04586864,0.01088308,-0.005910575,0.00682771,0.0203857,-0.006647097,-0.001883478,0.008043328,0.01390632
taui_bay,arman,arman,14r,0.03460199,0.02431899,0.0355073,0.01367219,0.03178554,0.02220304,-0.03526665,-0.04420615,0.01277999,0.01232717,-0.009934669,0.005866489,-0.002470639,-0.001733004
taui_bay,arman,arman,15r,0.001893483,-0.01158819,-0.02611517,0.01331467,-0.01065071,0.01388233,-0.03150912,-0.009577234,-0.001988069,-0.01052444,0.004507519,-0.008029725,-0.005519064,-0.005668183
taui_bay,arman,arman,16r,0.02036154,-0.02976492,-0.03025313,0.01171729,-0.006554204,-0.009006254,-0.003322024,0.006584391,0.007237841,0.02663669,0.001097765,-0.0002375689,0.01449091,-0.007027111
taui_bay,arman,arman,22r,-0.1361161,0.01981588,-0.03787058,-0.06920098,0.06877268,-0.01337106,-0.02009457,-0.003030149,-0.006566381,0.00978974,0.02166465,0.02138027,-0.00516753,-0.00595579
taui_bay,arman,arman,25r,0.00866896,0.002648891,-0.02725042,-0.00875975,0.002133319,0.005342939,0.0154064,0.02940387,0.003381215,-0.007802582,-0.001094831,0.01079646,-0.01633083,-0.01234716
taui_bay,arman,arman,27r,-0.06032818,-0.001418432,-0.035658,0.001372626,-0.02596676,-0.02786402,0.002940263,-0.004213174,-0.009971792,0.001822337,0.006900037,-0.004402834,0.02451459,-0.01994888
taui_bay,arman,arman,28r,0.01885757,-0.005890111,-0.02344685,0.006931108,-0.009874649,0.005141672,0.0009670458,-0.00428163,0.01067604,-0.01822238,0.01652824,0.003608568,-0.006831937,-0.01017039
taui_bay,arman,arman,31r,-0.05668518,0.05995604,-0.01049672,-0.01205109,-0.04696961,0.005993193,-0.002210468,0.0004090967,0.02491262,0.001787052,0.001565149,-0.01148927,0.02202161,0.01855301
taui_bay,arman,arman,33r,0.08608393,0.01429388,-0.006558255,0.004085175,0.003300704,-0.02435625,-0.01365643,0.006117113,-0.008633213,0.0005113268,0.01410761,-0.01266297,-0.001624268,0.01288728
taui_bay,arman,arman,35r,-0.06295351,-0.01263688,-0.0333615,0.01606241,-0.02228951,0.0137565,0.003215187,0.01384582,-0.004014052,-0.03962982,-0.0286397,-0.001549998,-0.01713068,-0.02782362
taui_bay,arman,arman,38r,-0.05074761,-0.01865736,-0.01975079,-0.002764736,-0.00286395,-0.005823679,-0.01153723,0.007981699,0.0007599314,-0.002260802,0.0198072,0.001646045,-0.004773439,0.01957858
taui_bay,arman,arman,42r,-0.006438642,-0.06387921,-0.04081755,-0.01982044,0.0155445,0.04790612,0.005646622,0.01746027,0.001852809,0.01528688,-0.01255877,-0.012419,-0.004947127,-0.01194655
taui_bay,arman,arman,46r,-0.04937353,0.02095283,-0.0001188982,0.002583935,-0.03508566,-0.00500357,-0.008081483,-0.002205866,0.007754821,-0.006479992,0.01004529,-0.004211675,0.01112129,0.0123488
taui_bay,arman,arman,47r,0.001342246,-0.01186981,-0.02171233,-0.004730889,-0.0276652,-0.0349491,-0.007112936,-0.01763884,0.002240842,-0.01452521,0.01875598,-0.002958938,0.007874802,-0.01261315
taui_bay,arman,arman,58r,0.007188639,-0.029181,-0.02711725,0.02143956,0.0007694931,-0.007776442,0.007655084,-0.0094278,0.002879095,0.008665294,0.0170493,-0.02238076,0.01205225,0.006414776
taui_bay,arman,arman,60r,0.01197694,-0.00692674,-0.01078969,-0.03366854,-0.04925813,-0.001653559,-0.01652828,0.02874082,-0.02704983,0.0289098,0.01050953,0.03008972,0.007935908,0.009742615
taui_bay,arman,arman,62r,-0.06374766,-0.02878198,-0.0115936,0.01592094,0.02160351,-0.01397381,0.003943232,-0.007051735,0.0004543965,0.01626076,-0.006184133,0.0002468547,0.008822748,-0.003020758
taui_bay,arman,arman,64r,-0.04549602,-0.05360652,-0.02637092,0.004847313,0.01679383,0.01743235,-0.00146715,-0.008749948,-0.001887891,0.007146371,-0.009520818,-2.11254e-05,-0.008869106,0.0009402685
taui_bay,arman,arman,65r,0.01639878,-0.006636554,0.04933803,0.03127193,0.01878745,-0.01460505,0.003329624,-0.004299185,-0.01638362,0.003620611,1.756754e-05,0.00913971,-0.006619207,0.01166604
taui_bay,arman,arman,66r,0.01239458,-0.004366012,-0.02296098,0.01802932,0.01315875,0.002728723,0.02520918,-0.004512649,0.007384358,0.003953991,-0.000282192,-0.0009979627,0.008531214,-0.01010295
taui_bay,arman,arman,70r,-0.005184809,0.01683762,-0.06193566,-0.01365414,-0.02345428,0.01375494,-0.01119306,-0.01760569,-0.009424262,-0.004824638,-0.002569701,-0.008311707,6.808596e-05,0.001632446
taui_bay,arman,arman,72r,0.02503985,0.003176453,-0.002295738,0.00461028,-0.02225792,0.01416629,0.02112533,-0.04744193,0.01735574,0.00574989,0.01441669,0.00136701,0.01418649,0.006476814
taui_bay,arman,arman,73r,0.05311783,-0.02385563,0.006068333,0.02376201,-0.001066578,0.00885016,-0.000780179,-0.02525727,-0.006622482,-0.01045009,0.009765391,0.01569402,0.01326612,-0.007237736
taui_bay,arman,arman,76r,0.006030331,0.008824348,-0.03392296,-0.0007172798,0.03118833,-0.006015115,0.01771218,-7.479721e-05,-0.00723514,-0.007171348,-0.01247451,-0.004854068,-0.0004252739,0.006585226
taui_bay,arman,arman,80r,0.008488618,-0.02990514,-0.01043474,0.02296993,0.01477146,0.003955198,0.002058795,0.007467099,0.007696185,0.007542944,-0.006725066,-0.0009814409,-0.01285151,0.0009245618
taui_bay,arman,arman,85r,-0.05834047,-0.01374107,0.01998387,-0.0110742,0.009918526,-0.02852982,0.01254517,-0.004027067,-0.02714868,0.02033134,0.003768729,0.001358227,0.007361674,-0.001776896
taui_bay,arman,arman,87r,-0.06070989,-0.02210301,0.04149902,-0.003534485,0.002001436,-0.01046599,0.02740089,0.0107818,-0.003504176,0.008384241,0.003074796,-0.002440475,-0.01284113,0.005459803
taui_bay,arman,arman,94r,-0.03205979,-0.01731432,0.008940883,0.01041697,-0.02161904,-0.01982926,-0.01046321,0.009248382,0.01354277,-0.006306315,0.007200401,-0.003987934,-0.004417394,-0.009161405
taui_bay,arman,arman,103r,0.1153905,-0.02922814,0.04003739,-0.04575462,0.02206599,0.01485473,0.003499409,0.02796264,0.02170204,0.002989872,-0.002996552,0.000285237,-0.01144315,0.01885347
shelikhova_bay,gizhiga,gizhiga,9r,0.07541506,0.007639534,0.008750444,-0.02567092,0.02007755,-0.005211129,0.01307029,0.02186311,-0.0004115721,-0.009543597,-0.00317786,-0.001622903,0.004145275,-0.003327213
shelikhova_bay,gizhiga,gizhiga,13r,0.04420958,0.0275695,-0.0342025,-0.03372421,0.01612576,-0.02998737,-0.02506505,-0.004791189,-0.007651985,-0.003591994,-0.03254626,-0.002368145,0.008538709,0.01983546
shelikhova_bay,gizhiga,gizhiga,15r,0.04703238,0.06061133,0.02484457,0.005433379,0.004139814,-0.001097417,-0.03378762,-0.01113747,-0.009147086,0.01013412,0.002265151,0.002093417,0.01074736,-0.001245568
shelikhova_bay,gizhiga,gizhiga,16r,0.05302743,0.003356049,-0.04461244,-0.01144065,0.01641895,-0.003907794,-0.004990977,0.01630469,-4.032525e-05,0.00845024,0.01541648,-0.0007097443,-0.004642825,0.005505592
shelikhova_bay,gizhiga,gizhiga,28r,-0.07450027,-0.04499672,0.007945234,-0.008412247,0.02390982,-0.009782595,-0.02034623,-0.03286937,0.005384657,0.01180423,0.007178581,0.001883456,0.01510153,0.008029043
shelikhova_bay,gizhiga,gizhiga,32r,-0.03664512,-0.03346429,-0.002090667,0.002063152,-0.02287288,-0.0002050371,0.006007445,-0.01053492,-0.00412845,-0.02315325,-0.02635585,0.02889088,0.009685622,-0.007781254
shelikhova_bay,gizhiga,gizhiga,33r,0.04034946,-0.05637855,0.01170227,0.02326713,0.0006248232,-0.0001448071,-0.01591712,0.01676125,0.00192046,0.01723934,-0.02999587,0.007490833,0.003098021,-0.006303375
shelikhova_bay,gizhiga,gizhiga,39r,0.004596306,0.05720735,-0.01369145,0.023453,-0.0144097,0.01624705,0.01242981,0.004563923,0.00776325,-0.01462301,-9.123018e-05,-0.004847505,0.00456534,0.01506248
shelikhova_bay,gizhiga,gizhiga,46r,0.0190599,0.001838459,-0.002955231,0.02403136,0.01075111,-0.02094178,-0.006358013,-0.0115786,0.01082862,-0.01566491,0.005176023,0.009318512,-0.008359775,-0.005444146
shelikhova_bay,gizhiga,gizhiga,47r,0.07008529,0.0001585194,-0.001846323,-0.007177252,0.01072468,-0.006259603,0.01291694,0.006803424,-0.004082343,-0.02107382,0.003749758,-0.01978174,0.001920733,0.001305405
shelikhova_bay,gizhiga,gizhiga,49r,-0.006513324,-0.03529558,0.0264124,0.03147679,0.04190853,-0.005398292,-0.0003936718,0.01136163,-0.02302707,0.006465539,-0.00106629,0.002976244,-0.02170419,-0.001856293
shelikhova_bay,gizhiga,gizhiga,52r,0.008882037,0.004389009,-0.0175793,-0.0058754,-0.02973595,-0.01007134,-0.003509617,-0.01895117,0.006496498,-0.008362588,-0.01494804,-0.001006298,-0.01692335,0.0007930066
shelikhova_bay,gizhiga,gizhiga,57r,-0.0105076,-0.06119349,-0.03146986,0.01755179,-0.01264953,-0.02066333,-0.02248628,0.002160057,-0.001582296,-0.00118799,-0.004614366,-0.007603295,-0.003219343,-0.002470006
shelikhova_bay,gizhiga,gizhiga,69r,-0.1313303,0.02023772,0.01825305,-0.03854898,-0.006675279,-0.02007444,0.02616199,0.007249908,0.008474209,-0.002531124,-0.001044936,-0.01935106,-0.004160837,-0.001840613
shelikhova_bay,gizhiga,gizhiga,74r,0.02606718,-0.02037399,-0.02367935,0.005717189,0.001905263,-0.002977792,0.02080609,0.01649335,0.01443275,-0.008623182,8.001134e-05,-0.003630739,-0.01319639,0.0001256554
shelikhova_bay,gizhiga,gizhiga,89r,-0.026614,-0.02266299,0.003016968,0.03371656,-0.01354016,-0.04805195,-0.01984994,0.01720503,-0.003489862,-0.01521131,0.001392125,-0.006321973,-0.008240995,0.000691658
shelikhova_bay,gizhiga,gizhiga,95r,-0.02412674,-0.05144477,0.03284506,-0.004220276,-0.01646479,-0.00759609,0.01221729,0.005703966,0.01475471,-0.0007344221,0.0006370378,-0.00195968,0.002768043,0.003151834
shelikhova_bay,gizhiga,gizhiga,98r,0.03839386,0.03644061,-0.006209813,-0.00881425,0.00602601,-0.02826613,-0.007628323,-0.01854121,0.01609011,-0.01297186,0.02874929,-0.001654375,-0.006748175,-0.01002427
